作戦説明=อธิบายกลยุทธ์  ##100101_01## ##hiyori_ヒヨリ##
まどろみのユイ=ยุยที่งีบหลับ  ##100201_01## ##yui_ユイ##
実は釣り好き=ที่จริงแล้วชอบตกปลา ##100301_01## ##rei_レイ##
イタズラガール=เด็กสาวขี้แกล้ง  ##100401_01## ##misogi_ミソギ##
ポーズの練習！=ฝึกโพสท่า!  ##100501_01## ##matsuri_マツリ##
一緒にいきたい=อยากไปด้วย  ##100601_01## ##akari_アカリ##
作ってオーラ=เปล่งออร่า  ##100701_01## ##miyako_ミヤコ##
  ##100801_01## ##yuuki_ユキ##
我が名は!!=นามของข้าคือ!!  ##100901_01## ##anna_アンナ##
  ##101001_01## ##maho_マホ##
  ##101101_01## ##rino_リノ##
  ##101201_01## ##hatsune_ハツネ##
  ##101301_01## ##nanaka_ナナカ##
探偵のサガ=ตำนานนักสืบ  ##101401_01## ##kasumi_カスミ##

においで引き寄せ=ถูกดึงดูดด้วยกลิ่น  ##101601_01## ##suzuna_スズナ##
てーげーカオリ=คาโอริชิวหลาย  ##101701_01## ##kaori_カオリ##
みんなの手本=แบบอย่างของทุกคน  ##101801_01## ##io_イオ##


人目のつかない所=ที่ลับตาคน  ##102101_01## ##kurumi_クルミ##

ぬいぐるみ集め=สะสมตุ๊กตา  ##102301_01## ##ayane_アヤネ##

皿割り記録=สถิติทำจานแตก  ##102501_01## ##suzume_スズメ##

ロックオン=ล็อกออน  ##102701_01## ##eriko_エリコ##



占い師=หมอดู  ##103101_01## ##shinobu_シノブ##
出口はこっち=ทางออกอยู่ทางนี้  ##103201_01## ##akino_アキノ##



あやしい…=น่าสงสัย...  ##103601_01## ##kyouka_キョウカ##

敵より読書=การอ่านสำคัญกว่าศัตรู  ##103801_01## ##shiori_シオリ##

気合入れて募集=ตั้งใจรับสมัครเต็มที่  ##104001_01## ##aoi_アオイ##



わらしべ世界征服=การครองโลกของเรา  ##104401_01## ##illya_イリヤ##
気づいたら=รู้ตัวอีกที  ##104501_01## ##kuuka_クウカ##

コーディネート=เลือกชุดไหนดี?  ##104701_01## ##jun_ジュン##

心配性=วิตกกังวล  ##104901_01## ##shizuru_シズル##





りめんばーみー！=รีเมมเบอร์มี!  ##105501_01## ##ayumi_アユミ##

紙ヒコーキに夢を乗せて=ส่งฝันไปกับเครื่องบินกระดาษ  ##105701_01## ##djeeta_ジータ##

はじめてのあじ=รสชาติที่ลิ้มลองครั้งแรก  ##105901_01## ##kokkoro_コッコロ##
つんつん=ฮึ่มฮึ่ม  ##106001_01## ##kyaru_キャル##


感動の出会い=การพบกันที่น่าประทับใจ  ##106301_01## ##arisa_アリサ##
じゃなくて=ไม่ใช่นะ  ##106401_01## ##sheffy_シェフィ##
買うぜ？=ซื้อนะ?  ##106501_01## ##kaya_カヤ##
下剋上=พลิกชนะ  ##106601_01## ##inori_イノリ##


にぎにぎ=ปั้น ๆ  ##106901_01## ##kaiser insight_カイザーインサイト##

退屈だ……=เบื่อจัง...  ##107101_01## ##christina_クリスティーナ##




















きょうみしんしん=น่าสนใจ  ##109201_01## ##anne_アン##

ダメだよ？=ไม่ได้นะ?  ##109401_01## ##glare_グレア##
くせになる=ติดเป็นนิสัย  ##109501_01## ##kuuka(oedo)_クウカ（オーエド）##











ぼっち専用=สำหรับคนโดดเดี่ยว  ##110701_01## ##aoi(school)_アオイ（編入生）##
勘違いされがち=มักจะโดนเข้าใจผิดฝ่ายเดียว  ##110801_01## ##kuroe_クロエ##



キメッ☆=เก็ก☆  ##112201_01## ##kasumi(magical)_カスミ（マジカル）##
見放題=ดูไม่อั้น  ##113001_01## ##ayumi(wander)_アユミ（ワンダー）##









魔法少女？=สาวน้อยเวทมนตร์?  ##112301_01## ##shiori(magical)_シオリ（マジカル）##




ヒットのアイデア=ไอเดียยอดฮิต  ##102801_01## ##saren_サレン##








恋の魔法=เวทมนตร์แห่งความรัก  ##113701_01## ##akari (angel)_アカリ（エンジェル）##















口ほどに物を言う=Say things as much as your mouth  ##115301_01## ##clear_クリア##








黄色い声援=กรี๊ดกร๊าด  ##116501_01## ##kuroe(school festival)_クロエ（聖学祭）##


征服完了！=ยึดครองสำเร็จ!  ##116501_01## ##inori(time travel)_イノリ（タイムトラベル）##
お仕事中=กำลังทำงาน  ##116601_01## ##kaya(time travel)_カヤ（タイムトラベル）##
得意分野（かも）=เรื่องที่ถนัด (มั้งนะ)  ##116701_01## ##aoi(work)_アオイ（作業服）##












第一の忠臣！=ข้ารับใช้ผู้ซื่อสัตย์อันดับหนึ่ง!  ##118001_01## ##credita_クレジッタ##




素敵な仲間=เพื่อนที่น่ารัก  ##118501_01## ##karin_カリン##




闇の授業=คาบเรียนแห่งความมืด  ##119001_01## ##io(noir)_イオ（ノワール）##
高まる=เพิ่มสูงขึ้น ##119101_01## ##kuuka(noir)_クウカ（ノワール）##








平和を守るお姉ちゃん=Onee-chan who protects the peace  ##120001_01## ##shizuru(noir)_シズル（ノワール）##


姉妹っぽいこと=อะไรที่ดูเป็นพี่น้องกัน  ##120301_01## ##shizuru(shizuru & rino)_シズル（シズル＆リノ）##









開演直前=ก่อนเริ่มการแสดง  ##121301_01## ##kurumi(stage)_クルミ（ステージ）##

